type,title,location,site_visit_date,ROM,solicitationNumber,department,typeOfSetAsideDescription,responseDeadLine,postedDate,naicsCode,organizationType,typeOfSetAside,fullParentPathCode,award,Queried_NAICS,resourceLinks,fullParentPathName,archiveDate,active,uiLink,additionalInfoLink,baseType
Presolicitation,Y1NE| PRESOLICIATION | 36C25626R0015 | CONSTRUCT NEW WATER STORAGE FACILITY,"Fayetteville, Arkansas",,"$10,000,000 and $20,000,000 | $10,000,000 | $20,000,000",36C25626R0015_PRESOL_CONSTRUCT_NEW_WATER_STORAGE_FACILITY,,SDVOSB Sole Source,2026-06-05T11:00:00-05:00,2026-05-21,237110,OFFICE,SDVOSBS,036.3600.36C256,,237110,,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.256-NETWORK CONTRACT OFFICE 16 (36C256)",2026-06-20,Yes,https://sam.gov/workspace/contract/opp/9e4a758c5a444d119ffb3d29f43dde65/view,,Presolicitation
Presolicitation,Unidirectional Flushing-Pre-Solicitation,Not Specified,,$45million,W56ZTN26BA001,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T13:00:00-04:00,2026-05-21,237110,OFFICE,SBA,021.2100.AMC.ACC.ACC-CTRS.ACC-APG.W56ZTN,,237110,,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-APG.W6QK ACC-APG DIR,2026-06-19,Yes,https://sam.gov/workspace/contract/opp/910e1e50e98b4cbf82e9c2f7f037b829/view,,Presolicitation
Presolicitation,Z1DZ--American Samoa CBOC Maintenance and Repair for VA Pacific  Islands Health Care System,Not Specified,,,36C26126Q0688,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T15:00:00-07:00,2026-05-19,561210,OFFICE,SBA,036.3600.36C261,{'awardee': {}},561210,,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.261-NETWORK CONTRACT OFFICE 21 (36C261)",2026-08-04,Yes,https://sam.gov/workspace/contract/opp/17e588dd87a44917849783a647fb3cf1/view,,Presolicitation
Presolicitation,FMC Lexington Electrical Bore 26Z1AZ3,"Lexington, Kentucky",,,15B10926Q00000013,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T14:00:00-04:00,2026-05-21,238210,OFFICE,SBA,015.1540.15B109,,238210,,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FMC LEXINGTON",2026-06-23,Yes,https://sam.gov/workspace/contract/opp/aab7f31e173a4456a2f9c20dca26fa41/view,,Presolicitation
Presolicitation,"HOUSTON SHIP CHANNEL, TEXAS, PLACEMENT AREA 14 DIKE RAISE",Not Specified,,,W912HY26BA030,,Total Small Business Set-Aside (FAR 19.5),,2026-05-21,237990,OFFICE,SBA,021.2100.USACE.SWD.SWG.W912HY,,237990,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTHWESTERN.ENDIST GALVESTON.W076 ENDIST GALVESTON,2027-05-21,Yes,https://sam.gov/workspace/contract/opp/75835d728abf4ac2866979d2143fdd64/view,,Presolicitation
Presolicitation,RENO BOTTOMS HREP - STAGE 2 - ICE HAUL SLOUGH,Not Specified,,,W912ES26BA013,,Total Small Business Set-Aside (FAR 19.5),,2026-05-20,237990,OFFICE,SBA,021.2100.USACE.MVD.MVP.W912ES,,237990,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST ST PAUL.W07V ENDIST ST PAUL,2026-06-19,Yes,https://sam.gov/workspace/contract/opp/31acca16d43e43019817256bb9a56816/view,,Presolicitation
Solicitation,Oldmans Dredged Material Placement Facility (DMPF) Dike Raising Construction,Not Specified,,,W912BU26RA013,,Total Small Business Set-Aside (FAR 19.5),2026-06-03T13:00:00-04:00,2026-05-28,237990,OFFICE,SBA,021.2100.USACE.NAD.NAP.W912BU,,237990,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,2027-05-28,Yes,https://sam.gov/workspace/contract/opp/4fa9dd96adbb4e07831e1b20a5b4e029/view,,Solicitation
Solicitation,VA-HARRISON LAKE NFH-REPL ELECTRICAL VC,Not Specified,,,140FC226Q0032,,Total Small Business Set-Aside (FAR 19.5),2026-06-11T15:00:00-04:00,2026-05-22,238210,OFFICE,SBA,014.1448.140FC2,,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e34b614ebddb4a51ab85487ff44ecdd6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f8ead23e8d8641a293d6deadd5703a71/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/feada84178544afcb5cdf9a902a798c5/download']","INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, CONSTRUCTION A/E TEAM 2",2026-06-26,Yes,https://sam.gov/workspace/contract/opp/61583b0cbf734f1e87be8ab8ab8fdc6d/view,,Solicitation
Solicitation,"Z--Conlon Creek Culvert Removal & Restoration, GOGA",Not Specified,,,140P8626R0003,,Total Small Business Set-Aside (FAR 19.5),2026-06-22T12:00:00-07:00,2026-05-26,237990,OFFICE,SBA,014.1443.140P86,,237990,,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR GOGA(86000)",2026-07-07,Yes,https://sam.gov/workspace/contract/opp/9f7efa3b95cb4e16a2f76788cd52c47f/view,,Solicitation
Solicitation,"Deer Island Ecosystem Restoration, Phase 1 Deer Island, MS (Harrison County)","Biloxi, Mississippi",,,W9127826RA046,,Total Small Business Set-Aside (FAR 19.5),2026-07-07T14:00:00-05:00,2026-05-28,237990,OFFICE,SBA,021.2100.USACE.SAD.SAM.W91278,,237990,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH ATLANTIC.ENDIST MOBILE.W074 ENDIST MOBILE,2026-07-22,Yes,https://sam.gov/workspace/contract/opp/5113d8e722fb48468d830af26e209483/view,,Solicitation
Presolicitation,OHARNG Tactical Vehicle Maneuver Lane Improvement at Camp James A. Garfield Joint Military Training Center (CJAG),"Ravenna, Ohio",,"$500,000 and $1,000,000 | $45,000,000 | $500,000",W91364-26-B-A001,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-08T12:00:00-04:00,2026-05-22,237990,OFFICE,SDVOSBC,021.2100.NGB.JFHQ USPFO OH.USPFO OH PROC.W91364,,237990,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e5559f297f2948e2a67f182abf4e7817/download'],DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO OH.USPFO OH PROCUREMENT.W7NU USPFO ACTIVITY OH ARNG,2026-06-23,Yes,https://sam.gov/workspace/contract/opp/fff85f25f13040f3b9c673a1179c22d1/view,,Sources Sought
Solicitation,Gravel Road Maintenance,Not Specified,,,W912DR26QA048,,Total Small Business Set-Aside (FAR 19.5),2026-06-11T17:00:00-05:00,2026-06-02,237310,OFFICE,SBA,021.2100.USACE.NAD.NAB.W912DR,,237310,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST BALTIMORE.W2SD ENDIST BALTIMORE,2027-07-30,Yes,https://sam.gov/workspace/contract/opp/6b25e52d020d44bfae587e17e4740f8d/view,,Solicitation
Solicitation,FTW506 Life Safety Repairs,Not Specified,,"$18,000,000",W911KB26RA039,,Total Small Business Set-Aside (FAR 19.5),2026-06-25T14:00:00-08:00,2026-05-26,238210,OFFICE,SBA,021.2100.USACE.POD.POA.W911KB,,238210,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION PACIFIC OCEAN.ENDIST ALASKA.W2SN ENDIST ALASKA,2027-05-26,Yes,https://sam.gov/workspace/contract/opp/eb83e29957544a2bbab8d9347199f9ec/view,,Solicitation
Solicitation,656-26-702  EHRM DDPO 2.0,"Saint Cloud, Minnesota",,,36C26326B0028-0002,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-08T10:00:00-05:00,2026-05-26,238210,OFFICE,SDVOSBC,036.3600.36C263,,238210,,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",2026-12-31,Yes,https://sam.gov/workspace/contract/opp/579d6c3c22f34947b11dbc19c6f95b7b/view,,Presolicitation
Solicitation,Shenango River Lake Water Tank Rehabiliation,Not Specified,,"$45,000,000.00",W911WN26BA014,,Total Small Business Set-Aside (FAR 19.5),2026-06-30T11:00:00-04:00,2026-05-28,237110,OFFICE,SBA,021.2100.USACE.LRD.LRP.W911WN,,237110,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST PITTSBURGH.W072 ENDIST PITTSBURGH,2026-07-15,Yes,https://sam.gov/workspace/contract/opp/ffeca1ae88c8440998776dbd7c4c0d67/view,,Solicitation
Solicitation,J--PAIS - Replace Buoys and NAV. Signs,"Corpus Christi, Texas",,,140P6026Q0043,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T10:00:00-05:00,2026-05-27,237990,OFFICE,SBA,014.1443.140P60,,237990,,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR MIDWEST REGION(60000)",2026-06-20,Yes,https://sam.gov/workspace/contract/opp/dc681e4fb6cb44bd9bf6977ed388dfb0/view,,Solicitation
Solicitation,Repair/Replace Traffic Lights,"Little Rock Air Force Base, Arkansas",,,FA446026Q0383,,Total Small Business Set-Aside (FAR 19.5),2026-06-11T15:00:00-05:00,2026-05-29,238210,OFFICE,SBA,057.5700.AMC.FA4460,,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8aa4c26e937c434496da76bd05348c2e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b8b3760c70a146918bb68593dd0f8c6e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e48ba63fabf04dbe8321a38bd63edbae/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/eff37c95d37a43dfab2bf35bd9f18428/download']",DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR MOBILITY COMMAND.FA4460  19 CONS PKA,2026-06-26,Yes,https://sam.gov/workspace/contract/opp/57404f26e53c4bba986fa47802a08ddd/view,,Solicitation
Solicitation,Replace Fuel Tanks and Associated Lines - Rec Camp,"San Angelo, Texas",,,FA303026Q0012,,Total Small Business Set-Aside (FAR 19.5),2026-06-17T15:00:00-05:00,2026-05-27,237120,OFFICE,SBA,057.5700.AETC.FA3030,,237120,,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.FA3030  17 CONS CC,2026-07-02,Yes,https://sam.gov/workspace/contract/opp/9bf0c12b00e14c4a9de7b8858ec50236/view,,Solicitation
Solicitation,FOSM - Replace Backflow Prevention Assemblies,"Fort Smith, Arkansas",,,140P6026Q0025,,Total Small Business Set-Aside (FAR 19.5),2026-06-26T12:00:00-05:00,2026-05-27,237110,OFFICE,SBA,014.1443.140P60,,237110,,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR MIDWEST REGION(60000)",2026-07-11,Yes,https://sam.gov/workspace/contract/opp/d3179646d3434fc9a97d31b2cfbee27d/view,,Sources Sought
Solicitation,"ACEP WRE Easement Repair (Dike Repair)-Madison Township, Perry County, Ohio","Madison, Ohio",,,12FPC326B0006,,Total Small Business Set-Aside (FAR 19.5),2026-06-30T14:00:00-05:00,2026-05-27,237990,OFFICE,SBA,012.12D0.12FPAC,,237990,,"AGRICULTURE, DEPARTMENT OF.FARM PRODUCTION AND CONSERVATION BUSINESS CENTER.FPAC BUS CNTR-ACQ DIV",2026-07-15,Yes,https://sam.gov/workspace/contract/opp/835db769ffad403ca7c28ac6bf961623/view,,Solicitation
Presolicitation,Z--Levee Repair - MN,Not Specified,,,140FC226R0002,,Total Small Business Set-Aside (FAR 19.5),2026-06-10T15:00:00-05:00,2026-05-27,237990,OFFICE,SBA,014.1448.140FC2,,237990,,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, CONSTRUCTION A/E TEAM 2",2026-06-25,Yes,https://sam.gov/workspace/contract/opp/317aff832cc64dafacf374c37db3ebf5/view,,Sources Sought
Presolicitation,J065--Variable Frequency Drive Maintenance,Not Specified,,,36C25226Q0426,,Total Small Business Set-Aside (FAR 19.5),2026-06-22T06:00:00-05:00,2026-05-27,238210,OFFICE,SBA,036.3600.36C252,{'awardee': {}},238210,,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.252-NETWORK CONTRACT OFFICE 12 (36C252)",2026-07-22,Yes,https://sam.gov/workspace/contract/opp/09ecd9ec452c446ab3e31adda2bd5251/view,,Presolicitation
Solicitation,MACA-REHAB ENTRANCE SIGNS/PARKING AREAS,Not Specified,,,140P5326R0006,,Total Small Business Set-Aside (FAR 19.5),2026-07-08T16:00:00-04:00,2026-06-05,237310,OFFICE,SBA,014.1443.140P54,,237310,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/19860c5e7b654c73b3740b777ab29c07/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1aa127318e9a4603a4fa2574fb68f3a6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5e811b796d0e40fdaddd43230ed4e247/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ca396ee3bc2c41e88efc9dd6208cc2e9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ec23300d3cd94899881b40750e74171d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fec553a3046842a19b11ec9fc07264e8/download']","INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.SER SOUTH MABO (54000)",2026-07-23,Yes,https://sam.gov/workspace/contract/opp/b30f21d4af1b43bc9aaf8152810bbdd2/view,,Presolicitation
Solicitation,Z--GRPO - Mile Creek Stone Trail Bridge,"Grand Portage, Minnesota",,,140P6026B0005,,Total Small Business Set-Aside (FAR 19.5),2026-06-29T10:00:00-05:00,2026-05-28,237310,OFFICE,SBA,014.1443.140P60,,237310,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1222200ac3994a10a15a1f74098b58cb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/545aa55a8adc46e3a3a33efcd6b97d16/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5a1d2718c0cb4fe594642870a5705f44/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/62f4a6e89fac4c698cf07722759201b8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6b882f4b18684369b71def6750c5e466/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e44da54299a64019a072906e87293f37/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ea4aa36fbf5d488ab6deb6187357089e/download']","INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR MIDWEST REGION(60000)",2026-07-14,Yes,https://sam.gov/workspace/contract/opp/17f7fdce05294ea596d764c7e92f7f14/view,,Solicitation
Solicitation,Atlantic Intracoastal Waterway (AIWW) Snows Cut Shoreline Erosion Bank Stabilization,Not Specified,,,W912PM26BA001,,Total Small Business Set-Aside (FAR 19.5),2026-06-29T13:00:00-04:00,2026-05-29,237990,OFFICE,SBA,021.2100.USACE.SAD.SAW.W912PM,,237990,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH ATLANTIC.ENDIST WILMINGTON.W074 ENDIST WILMINGTON,2027-05-29,Yes,https://sam.gov/workspace/contract/opp/03096beb9ce84524928192243f0cf524/view,,Solicitation
Solicitation,Z--Ste. Genevieve National Historical Park - Well Dec,"CRYSTAL CTY, Missouri",,,140P6026Q0031,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T10:00:00-05:00,2026-05-28,237110,OFFICE,SBA,014.1443.140P60,,237110,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1f8d20451a854fb2b84c4b0251d33cb9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/319e769d13094f7286a6fcba7da42c39/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4ad922ae890f4c0096425cf84e4a4d97/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4b8a98138f204c0faab6aff9ddb081e7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9f320afc57ce4a0abe6eaa70814d34fa/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b0faf3aaf6ca4100a2f896cecc624995/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d335717cf96d4c6a80a330de623bb12f/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f5eb29b6d90440d6aaebc3cb62a5c827/download']","INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR MIDWEST REGION(60000)",2026-06-20,Yes,https://sam.gov/workspace/contract/opp/7cc330541f524d239d24019ebbce8f1c/view,,Solicitation
Solicitation,Repair Ft. Griffin Ave (Phase 5),"Goodfellow AFB, Texas",,,FA303026R0002,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T09:00:00-05:00,2026-05-28,237310,OFFICE,SBA,057.5700.AETC.FA3030,,237310,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2be4cd42908f44f9b39d1c32b7a53647/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3f3cd36d62f04cbfa345f495212d7992/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/78b877b9219f4bb7bef65bb90ce89668/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9bc3178358cf45bc9073fa6527c3df2a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a49effec56a8422782c2884171907976/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/abcc89071176490589dcf7c177e141c3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/adff8983f3984af9b395e895c7737762/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c3e1360b835f4ff0b1d58069e74b2620/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c51df90805024146ab325a4aa480ff0f/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d6b41de7a8144a20b12fbc602d01d2a3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d9748315740e42efba2c876bce4e11ee/download']",DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.FA3030  17 CONS CC,2026-06-23,Yes,https://sam.gov/workspace/contract/opp/66ecf32ce31a452f9a02bd89b0307e32/view,,Solicitation
Solicitation,656-26-702  EHRM DDPO 2.0,"Saint Cloud, Minnesota",,,36C26326B0028-0003,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-08T10:00:00-05:00,2026-05-29,238210,OFFICE,SDVOSBC,036.3600.36C263,,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/24de0e0e13124bcda3686d7807f2b3ac/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7e9034152ded4539958c4eba4da4fd95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e75238f76f0c4f1aa3444f4aef3e3cdf/download']","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",2026-12-31,Yes,https://sam.gov/workspace/contract/opp/30bcd822c62b43378a645c917c5f3158/view,,Presolicitation
Solicitation,"West Shore Lake Pontchartrain, Louisiana, Hurricane and Storm Damage Risk Reduction Project, WSLP-103A Levee, Floodwall and Gate, Sta. 819+87 B/L to Sta. 827+95 B/L, St. John the Baptist Parish, Louisiana ED 24-025","New Orleans, Louisiana",,,W912P826BA041,,Total Small Business Set-Aside (FAR 19.5),2026-06-12T11:00:00-05:00,2026-06-05,237990,OFFICE,SBA,021.2100.USACE.MVD.MVN.W912P8,,237990,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/09ab089824a24d04aa3d71f1ca06f2a6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/674aefdf4ec74bb08cf19921e5d5f494/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/86607a56fb0143e0a30f7e54ef635fa0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ad6c4b00b96d4e7d8e159245289763a0/download']",DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST NEW ORLEANS.W07V ENDIST NEW ORLEANS,2026-06-27,Yes,https://sam.gov/workspace/contract/opp/ad1ba47433564be9892da864a6a40d3f/view,,Solicitation
Solicitation,618-26-702 EHRM Install DDPO 2,"Minneapolis, Minnesota",,,36C26326B0030-0004,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-09T10:00:00-05:00,2026-05-29,238210,OFFICE,SDVOSBC,036.3600.36C263,,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2e29cb53f6224317a1bf3e78abf90753/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7dcabbfff543409ba21a1ccd747eb793/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c8e3d583f7c042ee9c38888870eeeac7/download']","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",2026-12-31,Yes,https://sam.gov/workspace/contract/opp/7cd1e233272f4d11a74c1efebdb2bdb1/view,,Presolicitation
Solicitation,618-26-702 EHRM Install DDPO 2,"Minneapolis, Minnesota",,,36C26326B0030-0003,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-09T10:00:00-05:00,2026-05-28,238210,OFFICE,SDVOSBC,036.3600.36C263,,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3dcf09f6e030459ba3b3c4ad6f38fcdf/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6eced8b22d834170b7c8490246c0e5f0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b9b006d9e09243b4b003b57b0075346d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e82d1a2c6e9d40228dabbfe93b741a5c/download']","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",2026-12-31,Yes,https://sam.gov/workspace/contract/opp/55d04e896e3242b9811a01c633bdf9d2/view,,Presolicitation
Solicitation,"Grade and Pave, Lassen Volcanic NP",Not Specified,,,140P8426Q0035,,Total Small Business Set-Aside (FAR 19.5),2026-06-12T17:00:00-07:00,2026-05-29,237310,OFFICE,SBA,014.1443.140P85,,237310,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0ba01fb2535640edb734848082493ef0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/676d2a1c18d44fa9ab0b247ee231e51e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b0069b2850374eafa0388040ff41bf0d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c485a638d826487db33207a2900e20fe/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e41a9b79d7e9484a914b720c21c4c928/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fc59aed733a849219a8a159dec3950cc/download']","INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR SF/SEA MABO(85000)",2026-06-27,Yes,https://sam.gov/workspace/contract/opp/f5b13602ac214037abaa3610f794dd31/view,,Solicitation
Solicitation,CT SWITCHGEAR REPLACEMENT STAMPEDE PP,Not Specified,,,140R2026R0007,,Total Small Business Set-Aside (FAR 19.5),2026-06-27T17:00:00-07:00,2026-05-28,238210,OFFICE,SBA,014.1425.140R20,,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b94f929c8a1d41d3ac4044eb69d50101/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/db531a7151754493be5d93373500a5a6/download']","INTERIOR, DEPARTMENT OF THE.BUREAU OF RECLAMATION.MP-REGIONAL OFFICE",2026-07-12,Yes,https://sam.gov/workspace/contract/opp/31ef852b13814a03a3ada76b2f3d2a19/view,,Sources Sought
Solicitation,U.S. ARMY 63RD READINESS DIVISION MILCON ERCIP MICROGRID,Not Specified,,"$10,000,000 to $25,000,000 | Estimated Cost Range is between $10,000,000 to $25,000,000 | $45,000,000",W9123826RA016,,Total Small Business Set-Aside (FAR 19.5),2026-06-29T12:00:00-07:00,2026-06-03,237130,OFFICE,SBA,021.2100.USACE.SPD.SPN.W912P7,,237130,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.ENDIST SAN FRANCISCO.W075 ENDIST SAN FRAN,2027-05-28,Yes,https://sam.gov/workspace/contract/opp/7a76d2f71c264f0cb7ccf8413db448b3/view,,Solicitation
Solicitation,Oregon/Washington Clamshell Maintenance Dredging 2026,Not Specified,,,W9127N26BA015,,Total Small Business Set-Aside (FAR 19.5),2026-07-06T14:00:00-07:00,2026-06-04,237990,OFFICE,SBA,021.2100.USACE.NWD.NWP.W9127N,,237990,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST PORTLAND.W071 ENDIST PORTLAND,2026-07-21,Yes,https://sam.gov/workspace/contract/opp/388d9ac7e94a430fa4e05f4439d1ddc8/view,,Presolicitation
Presolicitation,"Rail Curves Package 3 for MOTCO, CA","Concord, California",,"$6,000,000 and $9,000,000 | $6,000,000 | $9,000,000",W9123826BA011,,Total Small Business Set-Aside (FAR 19.5),2026-06-11T10:00:00-07:00,2026-05-28,237990,OFFICE,SBA,021.2100.USACE.SPD.SPK.W91238,,237990,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.ENDIST SACRAMENTO.W075 ENDIST SACRAMENTO,2026-06-26,Yes,https://sam.gov/workspace/contract/opp/c7ece123e4ff49b7af348d815aaa46be/view,,Sources Sought
Presolicitation,Z2DA--FY26 NRM  590-24-115 Public Address System,"Hampton, Virginia",,"$2,000,000 and $5,000,000 | $19 million | $2,000,000",36C24626R0067,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-07-13T09:00:00-04:00,2026-05-28,238210,OFFICE,SDVOSBC,036.3600.36C246,{'awardee': {}},238210,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8923c8ae07794336b3c5cdcfd2dbda30/download'],"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.246-NETWORK CONTRACTING OFFICE 6 (36C246)",2026-10-20,Yes,https://sam.gov/workspace/contract/opp/71a5a3c8e8134ea0b9d736ced39cb57d/view,,Presolicitation
